Pol     Frozen  Disp    CT 
0.0462 -0.5053 -1.5001 -1.2970
0.0020 -0.3650 -2.4669 -0.9519
-0.0432 -0.1367 -2.8694 -0.3968
-0.0166 -0.0165 -1.2115 -0.0864
0.0012 0.0024 -0.0497 -0.0129
0.3641 -0.7565 2.4444 -3.0148
0.2131 -0.5004 0.3590 -1.9941
0.1039 -0.3420 -0.9627 -1.3555
0.0363 -0.2361 -1.6990 -0.9512
-0.0056 -0.1632 -2.0706 -0.6888
-0.0344 -0.0532 -1.9224 -0.2890
-0.0119 -0.0016 -0.7041 -0.0794
0.0008 0.0014 -0.0071 -0.0136
0.1979 -0.2228 -0.6318 -2.1170
0.1115 -0.1396 -1.4560 -1.4765
0.0489 -0.0918 -1.8905 -1.0433
0.0056 -0.0622 -1.9848 -0.7551
-0.0188 -0.0424 -1.9660 -0.5566
-0.0309 -0.0142 -1.4317 -0.2467
-0.0086 -0.0002 -0.4651 -0.0777
0.0005 -0.0005 0.0091 -0.0126
0.3512 -0.8094 2.5905 -3.1580
0.2157 -0.5294 0.5889 -2.1467
0.1187 -0.3552 -0.7955 -1.4944
0.0518 -0.2423 -1.6226 -1.0661
0.0088 -0.1674 -2.0016 -0.7805
-0.0343 -0.0557 -1.9008 -0.3393
-0.0156 -0.0054 -0.7820 -0.1012
0.0004 0.0017 -0.0296 -0.0174
0.2743 -1.1925 3.4447 -3.1671
0.1564 -0.8494 1.3412 -2.2499
0.0667 -0.5863 -0.4362 -1.5758
0.0121 -0.4033 -1.6102 -1.1261
-0.0207 -0.2796 -2.2099 -0.8304
-0.0418 -0.0922 -2.2719 -0.3589
-0.0134 -0.0103 -0.9025 -0.0984
0.0007 0.0010 -0.0348 -0.0153
0.4254 -2.2342 7.6111 -3.1606
0.2668 -1.5059 4.7135 -2.1735
0.1724 -1.0133 2.5213 -1.5375
0.1154 -0.6706 0.8816 -1.1297
0.0782 -0.4449 -0.2545 -0.8590
0.0303 -0.1380 -1.2913 -0.4111
0.0059 -0.0202 -0.5290 -0.1009
0.0013 0.0027 0.0065 0.0009
0.3043 -1.3636 4.3888 -2.4068
0.1876 -0.8780 2.3630 -1.6676
0.1158 -0.5651 0.9603 -1.1958
0.0725 -0.3609 -0.0376 -0.8929
0.0431 -0.2305 -0.6879 -0.6877
0.0076 -0.0439 -1.1180 -0.3281
0.0030 0.0121 -0.3645 -0.0790
0.0014 0.0099 0.0204 0.0028
0.6726 -1.5188 7.8505 -3.1942
0.5515 -1.0482 4.4105 -2.1835
0.4385 -0.7310 1.8072 -1.5127
0.3384 -0.5063 -0.1327 -1.0707
0.2156 -0.3173 -1.6442 -0.7324
0.0439 -0.0782 -2.2016 -0.2534
0.0055 0.0027 -0.6454 -0.0609
0.0029 0.0036 -0.0070 -0.0061
0.5267 -1.3126 7.2957 -2.9645
0.4213 -0.8914 3.9186 -1.9575
0.3240 -0.6119 1.5044 -1.3314
0.2384 -0.4184 -0.1972 -0.9338
0.1637 -0.2846 -1.2952 -0.6762
0.0320 -0.0873 -1.9733 -0.2810
0.0027 -0.0039 -0.7311 -0.0826
0.0020 0.0076 -0.0092 -0.0113
0.3654 -0.9176 4.9067 -2.1540
0.2966 -0.6011 2.4947 -1.4072
0.2327 -0.3960 0.7359 -0.9500
0.1654 -0.2589 -0.4841 -0.6680
0.1092 -0.1677 -1.2480 -0.4855
0.0194 -0.0407 -1.5592 -0.1998
-0.0029 0.0042 -0.5252 -0.0587
0.0010 0.0057 0.0038 -0.0099
0.1264 -0.8537 1.8588 -1.8729
0.0659 -0.6137 0.2637 -1.3036
0.0309 -0.4443 -0.8369 -0.9412
0.0079 -0.3211 -1.5430 -0.7033
-0.0057 -0.2304 -1.9566 -0.5317
-0.0182 -0.0793 -1.8539 -0.2321
-0.0071 -0.0102 -0.7201 -0.0560
0.0004 0.0011 -0.0576 -0.0068
0.1391 -1.1859 2.4789 -1.6719
0.0613 -0.8218 0.9811 -1.1302
0.0275 -0.5751 -0.0406 -0.7962
0.0125 -0.4049 -0.6959 -0.5851
0.0058 -0.2854 -1.0770 -0.4410
0.0018 -0.1013 -1.0683 -0.1978
0.0009 -0.0225 -0.3434 -0.0530
0.0003 -0.0008 -0.0070 -0.0016
0.3684 -1.1860 5.4052 -2.8169
0.2312 -0.9073 2.9105 -2.0109
0.1458 -0.6987 0.9855 -1.4662
0.0784 -0.5357 -0.4569 -1.0929
0.0408 -0.4052 -1.4970 -0.8312
-0.0158 -0.1748 -2.4812 -0.3791
-0.0077 -0.0334 -1.0997 -0.0816
0.0018 -0.0075 -0.0412 -0.0074
0.3205 -1.0855 4.9194 -2.2385
0.2280 -0.6071 2.8300 -1.5844
0.1652 -0.3070 1.3269 -1.1619
0.1234 -0.1218 0.2754 -0.8844
0.0894 -0.0114 -0.4605 -0.6936
0.0317 0.1175 -1.2406 -0.3443
0.0125 0.1101 -0.5651 -0.0891
0.0020 0.0484 -0.0363 0.0020
0.4484 -0.5727 4.6411 -2.6483
0.3275 -0.2343 2.7175 -1.8378
0.2401 -0.0189 1.2645 -1.3049
0.1726 0.1143 0.1812 -0.9497
0.1311 0.1967 -0.6506 -0.7086
0.0417 0.2803 -1.5763 -0.3230
0.0113 0.2323 -0.8346 -0.0855
0.0043 0.1085 -0.0822 -0.0035
0.4161 -0.8308 4.9548 -2.4399
0.3149 -0.3690 2.8201 -1.7329
0.2427 -0.0889 1.2782 -1.2708
0.1911 0.0797 0.2036 -0.9674
0.1478 0.1781 -0.5463 -0.7571
0.0642 0.2656 -1.3503 -0.3768
0.0204 0.2107 -0.6254 -0.0983
0.0042 0.0983 -0.0507 0.0020
0.2688 -0.1165 3.7803 -2.2955
0.2411 0.1882 2.0547 -1.6758
0.2163 0.3551 0.7861 -1.2574
0.1689 0.4362 -0.0496 -0.9611
0.1456 0.4635 -0.6457 -0.7488
0.0709 0.4231 -1.2340 -0.3701
0.0153 0.2691 -0.5850 -0.0952
0.0029 0.1015 -0.0560 0.0004
0.1599 -0.1213 0.0210 -1.3355
0.1068 0.0275 -0.4075 -0.9957
0.0685 0.1139 -0.7053 -0.7516
0.0439 0.1605 -0.8636 -0.5774
0.0294 0.1819 -0.9225 -0.4510
0.0065 0.1757 -0.8136 -0.2193
0.0022 0.1131 -0.3194 -0.0579
0.0009 0.0399 -0.0277 -0.0011
0.0847 0.8968 3.5303 -3.2179
0.1396 1.0114 2.0610 -2.4884
0.1681 1.0363 0.8450 -1.9296
0.1752 1.0113 -0.0689 -1.5097
0.1730 0.9590 -0.6930 -1.1959
0.1119 0.7523 -1.3411 -0.6248
0.0259 0.4631 -0.8993 -0.1970
0.0040 0.1714 -0.1018 -0.0033
0.2379 0.6037 1.7957 -3.1073
0.2131 0.7505 0.7769 -2.3408
0.1831 0.8092 -0.0887 -1.7693
0.1555 0.8131 -0.7891 -1.3459
0.1341 0.7844 -1.2503 -1.0363
0.0747 0.6249 -1.5682 -0.4999
0.0252 0.3725 -0.8549 -0.1508
0.0062 0.1158 -0.0578 -0.0074
-0.0119 0.5226 0.9532 -1.8821
0.0223 0.6368 0.0007 -1.4690
0.0437 0.6858 -0.6963 -1.1611
0.0563 0.6861 -1.1421 -0.9297
0.0617 0.6653 -1.3759 -0.7521
0.0442 0.5530 -1.4015 -0.3939
0.0182 0.3680 -0.7008 -0.1069
0.0051 0.1585 -0.0836 0.0010
-0.0293 -0.4897 3.4994 -2.7663
0.0321 -0.1127 1.9201 -2.1083
0.0742 0.1338 0.6338 -1.6330
0.1030 0.2840 -0.3214 -1.2895
0.1103 0.3707 -0.9392 -1.0322
0.0782 0.4431 -1.5611 -0.5461
0.0265 0.3436 -0.9587 -0.1643
0.0065 0.1496 -0.1103 -0.0005
0.0409 -0.8065 3.4340 -2.1554
0.0327 -0.4340 1.7505 -1.5757
0.0371 -0.1892 0.4902 -1.1894
0.0460 -0.0232 -0.4276 -0.9106
0.0532 0.0798 -1.0054 -0.7172
0.0353 0.1874 -1.4416 -0.3680
0.0127 0.1555 -0.6424 -0.1027
0.0021 0.0623 -0.0500 -0.0005
0.4147 -0.7859 6.1658 -3.3589
0.3574 -0.2369 3.4134 -2.3876
0.3253 0.0958 1.3464 -1.7539
0.2902 0.2864 -0.0635 -1.3284
0.2616 0.3888 -0.9512 -1.0342
0.1507 0.4634 -1.7841 -0.5283
0.0417 0.3544 -0.8859 -0.1582
0.0106 0.1630 -0.0772 0.0001
0.6672 0.5770 2.3534 -4.2897
0.4325 0.6262 1.4188 -3.0354
0.1882 0.6096 0.2405 -1.8396
0.0594 0.5571 -0.5693 -1.1679
-0.0004 0.4994 -1.0242 -0.7818
-0.0249 0.3545 -1.2827 -0.2959
-0.0080 0.2040 -0.5295 -0.0798
-0.0007 0.0757 -0.0363 -0.0109
0.2837 0.7031 -0.2460 -1.6506
0.1877 0.6575 -0.4422 -1.2285
0.1265 0.6090 -0.6514 -0.9261
0.0874 0.5615 -0.8365 -0.7079
0.0634 0.5169 -0.9536 -0.5504
0.0271 0.4047 -0.9209 -0.2701
0.0108 0.2712 -0.4942 -0.0767
0.0031 0.1248 -0.0510 -0.0028
0.0451 2.0910 1.4228 -4.8205
0.1210 1.9035 0.7261 -3.8167
0.1376 1.7001 0.1351 -2.9926
0.1252 1.4993 -0.3766 -2.3318
0.1058 1.3122 -0.7963 -1.8185
0.0501 0.8664 -1.3465 -0.8895
0.0050 0.4484 -0.9515 -0.2939
0.0012 0.1466 -0.1408 -0.0265
0.2464 -0.7068 1.4974 -1.7993
0.1750 -0.5366 0.1936 -1.3251
0.1190 -0.4042 -0.8034 -0.9915
0.0770 -0.3016 -1.5099 -0.7521
0.0440 -0.2241 -1.9524 -0.5781
-0.0042 -0.0843 -2.1302 -0.2663
-0.0073 0.0018 -0.8859 -0.0533
0.0012 0.0058 -0.0456 -0.0055
0.3630 -1.0199 2.8671 -2.4787
0.2345 -0.7575 1.0231 -1.7786
0.1447 -0.5624 -0.3405 -1.3031
0.0844 -0.4191 -1.3296 -0.9712
0.0404 -0.3135 -1.9544 -0.7353
-0.0050 -0.1261 -2.2346 -0.3330
-0.0012 -0.0255 -1.0086 -0.0915
0.0030 -0.0035 -0.0584 -0.0081
0.5095 -0.8696 6.5063 -2.5146
0.3935 -0.4162 3.9677 -1.7205
0.3013 -0.1358 2.1718 -1.2258
0.2435 0.0357 0.8846 -0.9092
0.1861 0.1359 0.0110 -0.7005
0.0754 0.2409 -1.0569 -0.3361
0.0187 0.1818 -0.4985 -0.0738
0.0025 0.0683 -0.0104 0.0060
0.2979 -0.5059 1.9169 -1.8257
0.2024 -0.3003 0.6721 -1.3429
0.1441 -0.1580 -0.2575 -1.0105
0.1013 -0.0618 -0.9276 -0.7768
0.0743 0.0040 -1.3914 -0.6078
0.0295 0.0923 -1.7350 -0.3011
0.0065 0.0967 -0.7782 -0.0793
0.0018 0.0327 -0.0423 -0.0039
0.2844 0.3611 -0.5399 -3.1327
0.2612 0.4525 -0.6774 -2.5229
0.2065 0.4913 -0.8150 -1.9957
0.1487 0.4974 -0.9544 -1.5642
0.1025 0.4839 -1.0833 -1.2249
0.0279 0.3992 -1.1817 -0.6086
-0.0034 0.2622 -0.7574 -0.2101
0.0005 0.1137 -0.1166 -0.0319
0.2725 -0.7299 3.4505 -3.4987
0.1665 -0.4878 2.2416 -2.5444
0.0946 -0.3155 1.2111 -1.8581
0.0481 -0.1929 0.3533 -1.3692
0.0186 -0.1043 -0.3284 -1.0202
-0.0101 0.0385 -1.3422 -0.4549
-0.0120 0.0970 -1.0726 -0.1356
0.0001 0.0597 -0.1463 -0.0187
