    O-H_A     O-H_B.          Energy
    1.1000    2.0000       -76.2219480602
    1.2000    0.6000       -76.0594601219
    1.2000    0.7000       -76.2647148250
    1.2000    0.8000       -76.3559080174
    1.2000    0.9000       -76.3887927616
    1.2000    1.0000       -76.3916343743
    1.2000    1.1000       -76.3793261422
    1.2000    1.2000       -76.3597949755
    1.2000    1.3000       -76.3373503710
    1.2000    1.4000       -76.3143466009
    1.2000    1.5000       -76.2920255985
    1.2000    1.6000       -76.2710092545
    1.2000    1.7000       -76.2515879773
    1.2000    1.8000       -76.2338481152
    1.2000    1.9000       -76.2177966692
    1.2000    2.0000       -76.2033631681
    1.3000    0.6000       -76.0356033250
    1.3000    0.7000       -76.2411494953
    1.3000    0.8000       -76.3325883372
    1.3000    0.9000       -76.3657065702
    1.3000    1.0000       -76.3687850383
    1.3000    1.1000       -76.3566805837
    1.3000    1.2000       -76.3373503710
    1.3000    1.3000       -76.3150921574
    1.3000    1.4000       -76.2922357631
    1.3000    1.5000       -76.2700562757
    1.3000    1.6000       -76.2491566372
    1.3000    1.7000       -76.2298159682
    1.3000    1.8000       -76.2121425813
    1.3000    1.9000       -76.1961356705
    1.3000    2.0000       -76.1817404072
    1.4000    0.6000       -76.0112707840
    1.4000    0.7000       -76.2170863787
    1.4000    0.8000       -76.3087705851
    1.4000    0.9000       -76.3421207066
    1.4000    1.0000       -76.3454067007
    1.4000    1.1000       -76.3334937438
    1.4000    1.2000       -76.3143466009
    1.4000    1.3000       -76.2922357631
    1.4000    1.4000       -76.2695317743
    1.4000    1.5000       -76.2474594832
    1.4000    1.6000       -76.2266462055
    1.4000    1.7000       -76.2073844822
    1.4000    1.8000       -76.1897735725
    1.4000    1.9000       -76.1738035584
    1.4000    2.0000       -76.1594307193
    1.5000    0.6000       -75.9877574541
    1.5000    0.7000       -76.1938093189
    1.5000    0.8000       -76.2857226952
    1.5000    0.9000       -76.3192817509
    1.5000    1.0000       -76.3227578450
    1.5000    1.1000       -76.3110245724
    1.5000    1.2000       -76.2920255985
    1.5000    1.3000       -76.2700562757
    1.5000    1.4000       -76.2474594832
    1.5000    1.5000       -76.2254801255
    1.5000    1.6000       -76.2047548074
    1.5000    1.7000       -76.1855453513
    1.5000    1.8000       -76.1679767472
    1.5000    1.9000       -76.1520404864
    1.5000    2.0000       -76.1376875317
    1.6000    0.6000       -75.9657170201
    1.6000    0.7000       -76.1719737987
    1.6000    0.8000       -76.2640860527
    1.6000    0.9000       -76.2978211230
    1.6000    1.0000       -76.3014694255
    1.6000    1.1000       -76.2898845546
    1.6000    1.2000       -76.2710092545
    1.6000    1.3000       -76.2491566372
    1.6000    1.4000       -76.2266462055
    1.6000    1.5000       -76.2047548074
    1.6000    1.6000       -76.1840823530
    1.6000    1.7000       -76.1649247694
    1.6000    1.8000       -76.1473945594
    1.6000    1.9000       -76.1314904895
    1.6000    2.0000       -76.1171545598
    1.7000    0.6000       -75.9454352064
    1.7000    0.7000       -76.1518617802
    1.7000    0.8000       -76.2441455040
    1.7000    0.9000       -76.2780314362
    1.7000    1.0000       -76.2818204461
    1.7000    1.1000       -76.2703531805
    1.7000    1.2000       -76.2515879773
    1.7000    1.3000       -76.2298159682
    1.7000    1.4000       -76.2073844822
    1.7000    1.5000       -76.1855453513
    1.7000    1.6000       -76.1649247694
    1.7000    1.7000       -76.1458124712
    1.7000    1.8000       -76.1283128613
    1.7000    1.9000       -76.1124330505
    1.7000    2.0000       -76.0981088700
    1.8000    0.6000       -75.9270096070
    1.8000    0.7000       -76.1335692594
    1.8000    0.8000       -76.2259922726
    1.8000    0.9000       -76.2600036087
    1.8000    1.0000       -76.2639078097
    1.8000    1.1000       -76.2525342689
    1.8000    1.2000       -76.2338481152
    1.8000    1.3000       -76.2121425813
    1.8000    1.4000       -76.1897735725
    1.8000    1.5000       -76.1679767472
    1.8000    1.6000       -76.1473945594
    1.8000    1.7000       -76.1283128613
    1.8000    1.8000       -76.1108378366
    1.8000    1.9000       -76.0949849416
    1.8000    2.0000       -76.0806828901
    1.9000    0.6000       -75.9104200759
    1.9000    0.7000       -76.1170852747
    1.9000    0.8000       -76.2096198770
    1.9000    0.9000       -76.2437292526
    1.9000    1.0000       -76.2477193669
    1.9000    1.1000       -76.2364220687
    1.9000    1.2000       -76.2177966692
    1.9000    1.3000       -76.1961356705
    1.9000    1.4000       -76.1738035584
    1.9000    1.5000       -76.1520404864
    1.9000    1.6000       -76.1314904895
    1.9000    1.7000       -76.1124330505
    1.9000    1.8000       -76.0949849416
    1.9000    1.9000       -76.0791404510
    1.9000    2.0000       -76.0648537976
    2.0000    0.6000       -75.8955813576
    2.0000    0.7000       -76.1023273805
    2.0000    0.8000       -76.1949502505
    2.0000    0.9000       -76.2291367785
    2.0000    1.0000       -76.2331918798
    2.0000    1.1000       -76.2219480602
    2.0000    1.2000       -76.2033631681
    2.0000    1.3000       -76.1817404072
    2.0000    1.4000       -76.1594307193
    2.0000    1.5000       -76.1376875317
    2.0000    1.6000       -76.1171545598
    2.0000    1.7000       -76.0981088700
    2.0000    1.8000       -76.0806828901
    2.0000    1.9000       -76.0648537976
    2.0000    2.0000       -76.0505286469
